frame,timestamp,track_id,status,helmet_color,confidence,x,y,width,height
4,0.133,1,Non-Compliant,none,0.0,168,154,63,201
4,0.133,2,Non-Compliant,none,0.0,333,181,41,169
4,0.133,3,Non-Compliant,none,0.0,434,151,50,182
4,0.133,4,Non-Compliant,none,0.0,284,205,50,138
4,0.133,5,Non-Compliant,none,0.0,369,163,50,183
4,0.133,6,Non-Compliant,none,0.0,536,192,47,137
4,0.133,7,Non-Compliant,none,0.0,487,156,61,181
5,0.167,1,Non-Compliant,none,0.0,168,153,63,202
5,0.167,2,Non-Compliant,none,0.0,333,182,41,168
5,0.167,3,Non-Compliant,none,0.0,436,150,52,188
5,0.167,4,Non-Compliant,none,0.0,283,204,50,139
5,0.167,5,Non-Compliant,none,0.0,368,163,51,187
5,0.167,6,Non-Compliant,none,0.0,537,198,44,132
5,0.167,7,Non-Compliant,none,0.0,487,156,61,182
5,0.167,9,Non-Compliant,none,0.0,235,121,48,216
6,0.2,1,Non-Compliant,none,0.0,168,153,64,202
6,0.2,2,Non-Compliant,none,0.0,333,182,41,168
6,0.2,3,Non-Compliant,none,0.0,432,150,52,187
6,0.2,4,Non-Compliant,none,0.0,283,204,50,139
6,0.2,5,Non-Compliant,none,0.0,369,164,51,187
6,0.2,6,Non-Compliant,none,0.0,536,199,44,129
6,0.2,7,Non-Compliant,none,0.0,487,156,61,182
6,0.2,9,Non-Compliant,none,0.0,235,121,47,214
7,0.234,1,Non-Compliant,none,0.0,168,153,64,202
7,0.234,2,Non-Compliant,none,0.0,333,182,41,169
7,0.234,3,Non-Compliant,none,0.0,432,150,51,188
7,0.234,4,Non-Compliant,none,0.0,283,204,50,139
7,0.234,5,Non-Compliant,none,0.0,369,164,52,189
7,0.234,6,Non-Compliant,none,0.0,537,201,43,125
7,0.234,7,Non-Compliant,none,0.0,486,155,61,184
7,0.234,9,Non-Compliant,none,0.0,235,121,46,212
8,0.267,1,Non-Compliant,none,0.0,168,153,64,203
8,0.267,2,Non-Compliant,none,0.0,333,182,41,169
8,0.267,3,Non-Compliant,none,0.0,433,150,52,188
8,0.267,4,Non-Compliant,none,0.0,282,204,51,139
8,0.267,5,Non-Compliant,none,0.0,370,164,51,186
8,0.267,6,Non-Compliant,none,0.0,536,197,45,129
8,0.267,7,Non-Compliant,none,0.0,485,155,60,183
8,0.267,9,Non-Compliant,none,0.0,235,120,46,211
9,0.3,1,Non-Compliant,none,0.0,168,153,64,203
9,0.3,2,Non-Compliant,none,0.0,332,182,41,168
9,0.3,3,Non-Compliant,none,0.0,431,151,52,187
9,0.3,4,Non-Compliant,none,0.0,282,204,50,139
9,0.3,5,Non-Compliant,none,0.0,371,165,50,183
9,0.3,6,Non-Compliant,none,0.0,536,195,46,130
9,0.3,7,Non-Compliant,none,0.0,485,159,59,180
9,0.3,9,Non-Compliant,none,0.0,234,120,46,210
10,0.334,1,Non-Compliant,none,0.0,168,153,64,203
10,0.334,2,Non-Compliant,none,0.0,333,182,40,167
10,0.334,3,Non-Compliant,none,0.0,430,150,52,188
10,0.334,4,Non-Compliant,none,0.0,281,204,51,139
10,0.334,5,Non-Compliant,none,0.0,372,166,49,181
10,0.334,6,Non-Compliant,none,0.0,537,194,46,130
10,0.334,7,Non-Compliant,none,0.0,485,157,59,181
10,0.334,9,Non-Compliant,none,0.0,234,120,45,209
11,0.367,1,Non-Compliant,none,0.0,168,153,64,202
11,0.367,2,Non-Compliant,blue,0.08,333,182,40,167
11,0.367,3,Non-Compliant,blue,0.01,429,150,52,187
11,0.367,4,Non-Compliant,none,0.0,280,204,52,139
11,0.367,5,Non-Compliant,none,0.0,373,165,49,181
11,0.367,6,Non-Compliant,none,0.0,535,192,48,135
11,0.367,7,Non-Compliant,blue,0.12,485,157,59,180
11,0.367,9,Non-Compliant,none,0.0,234,120,45,209
12,0.4,1,Non-Compliant,yellow,0.29,168,153,64,202
12,0.4,2,Non-Compliant,blue,0.33,333,182,41,167
12,0.4,3,Non-Compliant,blue,0.12,428,150,52,187
12,0.4,4,Non-Compliant,none,0.0,280,204,52,139
12,0.4,5,Non-Compliant,yellow,0.28,374,165,49,180
12,0.4,6,Non-Compliant,none,0.0,534,189,50,140
12,0.4,7,Non-Compliant,blue,0.69,485,156,59,181
12,0.4,9,Non-Compliant,none,0.0,234,120,45,208
13,0.434,1,Compliant,yellow,1.0,168,152,64,203
13,0.434,2,Non-Compliant,blue,0.64,333,182,41,167
13,0.434,3,Non-Compliant,blue,0.39,428,150,52,187
13,0.434,4,Non-Compliant,none,0.0,281,204,51,138
13,0.434,5,Non-Compliant,yellow,0.59,375,165,49,179
13,0.434,6,Non-Compliant,none,0.0,536,190,49,136
13,0.434,7,Non-Compliant,blue,0.7,486,160,57,177
13,0.434,9,Non-Compliant,none,0.0,234,119,44,209
14,0.467,1,Compliant,yellow,1.0,168,152,64,203
14,0.467,2,Non-Compliant,blue,1.0,333,182,41,167
14,0.467,3,Non-Compliant,blue,0.92,427,150,52,187
14,0.467,4,Non-Compliant,none,0.0,280,204,52,138
14,0.467,5,Non-Compliant,yellow,0.71,376,165,48,179
14,0.467,6,Non-Compliant,orange,0.01,536,190,48,136
14,0.467,7,Non-Compliant,blue,0.64,486,162,56,175
14,0.467,9,Non-Compliant,none,0.0,233,119,45,208
14,0.467,11,Non-Compliant,blue,0.51,599,144,39,123
15,0.501,1,Compliant,yellow,1.0,169,152,64,203
15,0.501,2,Compliant,blue,1.0,333,182,41,166
15,0.501,3,Compliant,blue,1.0,426,149,52,188
15,0.501,4,Non-Compliant,none,0.0,280,204,52,138
15,0.501,5,Non-Compliant,yellow,0.74,376,165,48,179
15,0.501,6,Non-Compliant,orange,0.06,536,190,48,135
15,0.501,7,Non-Compliant,blue,0.66,486,162,56,175
15,0.501,9,Non-Compliant,none,0.0,233,119,44,208
15,0.501,11,Non-Compliant,blue,0.67,599,144,39,123
16,0.534,1,Compliant,yellow,1.0,169,153,64,202
16,0.534,2,Compliant,blue,1.0,333,182,41,167
16,0.534,3,Compliant,blue,1.0,426,149,52,188
16,0.534,4,Non-Compliant,none,0.0,281,205,52,137
16,0.534,5,Non-Compliant,yellow,0.74,376,165,48,179
16,0.534,6,Non-Compliant,orange,0.22,536,196,47,130
16,0.534,7,Non-Compliant,blue,0.62,486,163,56,174
16,0.534,9,Non-Compliant,none,0.0,232,119,44,208
17,0.567,1,Compliant,yellow,1.0,169,152,64,203
17,0.567,2,Compliant,blue,1.0,333,182,41,166
17,0.567,3,Compliant,blue,1.0,425,149,53,187
17,0.567,4,Non-Compliant,none,0.0,280,205,53,137
17,0.567,5,Non-Compliant,yellow,0.72,377,164,48,180
17,0.567,6,Non-Compliant,orange,0.36,536,196,47,131
17,0.567,7,Non-Compliant,red,0.61,486,163,55,174
17,0.567,9,Non-Compliant,none,0.0,232,119,44,208
18,0.601,1,Compliant,yellow,1.0,169,152,64,203
18,0.601,2,Compliant,blue,1.0,333,182,41,167
18,0.601,3,Compliant,blue,1.0,425,149,53,187
18,0.601,4,Non-Compliant,none,0.0,281,205,52,138
18,0.601,5,Non-Compliant,yellow,0.73,377,163,47,181
18,0.601,6,Non-Compliant,orange,0.7,537,203,45,123
18,0.601,7,Non-Compliant,red,0.76,485,162,57,176
18,0.601,9,Non-Compliant,white,0.0,232,119,44,209
19,0.634,1,Compliant,yellow,1.0,169,152,64,203
19,0.634,2,Compliant,blue,1.0,333,182,41,166
19,0.634,3,Compliant,blue,1.0,424,148,53,188
19,0.634,4,Non-Compliant,none,0.0,280,205,53,137
19,0.634,5,Non-Compliant,yellow,0.73,377,162,48,182
19,0.634,6,Compliant,white,1.0,537,207,44,120
19,0.634,7,Non-Compliant,red,0.88,485,162,56,175
19,0.634,9,Non-Compliant,white,0.37,232,119,44,209
20,0.667,1,Compliant,yellow,1.0,169,152,64,203
20,0.667,2,Compliant,blue,1.0,333,183,41,166
20,0.667,3,Compliant,blue,1.0,423,149,53,186
20,0.667,4,Non-Compliant,none,0.0,280,205,53,137
